249,51982000008521,M 973.345 MU,M ACORN 973.345 MU,"Muster rolls and other records of service of Maryland troops in the American Revolution, 1775-1783"
427,51982000528742,M 929.3 WEI 1972,M ACORN 929.3 WEI 1972,"Records of marriages and burials in the Monocacy Church in Frederick County, Maryland, and in the Ev"
2258,51982000529492,M 929.3 BAR 1975,M ACORN 929.3 BAR 1975,"Maryland marriages, 1634-1777 /"
2412,51982000002268,M 929 RICE,M ACORN 929 RICE,"New facts and old families : from the records of Frederick County, Maryland /"
2630,51982000680147,M 929.3 GIL 2000,M ACORN 929.3 GIL 2000,"Early families of Frederick County, Maryland and south central Pennsylvania /"
2855,51982000527207,M 929.3 MAR,M ACORN 929.3 MAR,"St. Peter's Lutheran Church now Grace Lutheran Church near Woodsboro, Frederick County, Maryland, 17"
3948,51982000683554,M 317.3 UNIT 1850,M ACORN 317.3 UNIT 1850,"Bridge in time : the complete 1850 census of Frederick County, Maryland /"
4874,51982000685427,M 975.2 ENG V.1,M ACORN 975.2 ENG V.1,The diary of Jacob Engelbrecht /
4874,51982000680824,M 975.2 ENG V.2,M ACORN 975.2 ENG V.2,The diary of Jacob Engelbrecht /
6243,51982000545050,M 720.975287 NEW 1996,M ACORN 720.975287 NEW 1996,New Market region : historic sites survey /
6243,51982006096728,M 720.975287 NEW 1996 INDEX,M ACORN 720.975287 NEW 1996 INDEX,New Market region : historic sites survey /
6245,51982000544996,M 720.975287 URB 1996,M ACORN 720.975287 URB 1996,Urbana region : historic sites survey /
6245,51982006096702,M 720.975287 URB 1996 INDEX,M ACORN 720.975287 URB 1996 INDEX,Urbana region : historic sites survey /
7376,51982000732856,M 312.097 CAR 2002,M ACORN 312.097 CAR 2002,1776 census of Maryland /
7961,51982006092628,M 975.2 WIL 2002,M ACORN 975.2 WIL 2002,"Every-name index for the two volumes of History of Frederick County, Maryland by T.J.C. Williams and"
8371,51982006092479,M 929.3 MAR V.14 2000,M ACORN 929.3 MAR V.14 2000,"German Reformed Church, Baltimore, Baltimore County, Maryland : now First and St. Stephen's Church,"
9107,51982003029573,M 347.75287 RIC 1984,M ACORN 347.75287 RIC 1984,"This was the life : excerpts from the judgment records of Frederick County, Maryland, 1748-1765 /"
9988,51982000526829,M 929.3 FOG 1999,M ACORN 929.3 FOG 1999,"Pastoral records of the Evangelical Reformed United Church of Christ, Frederick, Frederick County, M"
9989,51982000526761,M 929.3 FOG 2000,M ACORN 929.3 FOG 2000,"Marriages recorded by the pastors of the Evangelical Reform United Church of Christ Frederick, Frede"
9990,51982000537560,M 929.3 FOG 1999,M ACORN 929.3 FOG 1999,Deaths and burials recorded by the pastors of the Evangelical Reform United Church of Christ Frederi
