PATRON,NOTEID,TIMESTAMP,NOTETYPE,ALIAS
11982920059384,2744060,11/18/2022,2,OPD
11982920059630,2747426,11/18/2022,2,OPD
11982920070815,4736745,10/11/2023,2,OPD
11982920038137,2744451,11/18/2022,2,OPD
11982999108790,2744371,11/18/2022,2,OPD
11982920004616,1955537,7/15/2022,2,OPD
11982920074637,1507274,4/29/2022,2,OPD
11982920055476,2747154,11/18/2022,2,OPD
11982920056391,4736541,10/11/2023,2,OPD
11982001579628,649763,11/26/2021,2,CNV
11982920073989,4735672,10/11/2023,2,OPD
11982920073918,4736846,10/11/2023,2,OPD
11982920073919,4736351,10/11/2023,2,OPD
11982920075821,3364767,3/8/2023,2,OPD
11982011115959,660914,11/26/2021,2,CNV
11982920053858,3364036,3/8/2023,2,OPD
11982920003457,2746859,11/18/2022,2,OPD
11982920009159,6402660,7/19/2024,2,OPD
11982010140651,658643,11/26/2021,2,CNV
11982920074122,4736759,10/11/2023,2,OPD
11982920073965,4735988,10/11/2023,2,OPD
11982920070077,2747496,11/18/2022,2,OPD
11982920072592,3364069,3/8/2023,2,OPD
11982920061996,1953318,7/15/2022,2,OPD
11982001278049,648978,11/26/2021,2,CNV
11982920042580,4735593,10/11/2023,2,OPD
11982011182439,661018,11/26/2021,2,CNV
11982920004638,4241451,7/26/2023,2,OPD
11982920003318,4242913,7/26/2023,2,OPD
11982920013249,6402575,7/19/2024,2,OPD
11982920044035,1954485,7/15/2022,2,OPD
11982920005575,6400646,7/19/2024,2,OPD
11982020818916,665132,11/26/2021,2,CNV
11982910038604,2746965,11/18/2022,2,OPD
11982910028840,3240943,2/16/2023,2,OPD
11982020637159,670911,11/26/2021,2,CNV
11982010067128,658309,11/26/2021,2,CNV
11982008024297,658310,11/26/2021,2,CNV
11982920010595,4240107,7/26/2023,2,OPD
11982920014180,6402147,7/19/2024,2,OPD
11982011214075,649209,11/26/2021,2,CNV
11982920036890,3365204,3/8/2023,2,OPD
11982920007234,4240763,7/26/2023,2,OPD
11982011232655,665927,11/26/2021,2,CNV
11982920002907,4240126,7/26/2023,2,OPD
11982010900484,658153,11/26/2021,2,CNV
11982010065767,650223,11/26/2021,2,CNV
11982010707343,651837,11/26/2021,2,CNV
11982920028213,4241771,7/26/2023,2,OPD
11982920052382,3240787,2/16/2023,2,OPD
11982010131130,660767,11/26/2021,2,CNV
11982920052691,2747071,11/18/2022,2,OPD
11982920069821,6403298,7/19/2024,2,OPD
11982920026184,3365936,3/8/2023,2,OPD
11982002193601,652421,11/26/2021,2,CNV
11982920053111,3365595,3/8/2023,2,OPD
11982920052677,3364219,3/8/2023,2,OPD
11982920070492,3364232,3/8/2023,2,OPD
11982920029054,2746604,11/18/2022,2,OPD
11982920055485,4242003,7/26/2023,2,OPD
11982920070831,4736448,10/11/2023,2,OPD
11982920053591,3240619,2/16/2023,2,OPD
11982920068659,6401411,7/19/2024,2,OPD
11982920063871,4736538,10/11/2023,2,OPD
11982020505497,655239,11/26/2021,2,CNV
11982920046752,6400231,7/19/2024,2,OPD
11982020013401,666893,11/26/2021,2,CNV
11982920001743,2745414,11/18/2022,2,OPD
11982920049032,3365167,3/8/2023,2,OPD
11982920007026,4240414,7/26/2023,2,OPD
11982920002298,2744425,11/18/2022,2,OPD
11982021615113,666470,11/26/2021,2,CNV
11982920039951,3365325,3/8/2023,2,OPD
11982920040309,3365219,3/8/2023,2,OPD
11982920070155,3798976,5/19/2023,2,OPD
11982920016577,2747112,11/18/2022,2,OPD
11982920035542,4241014,7/26/2023,2,OPD
11982910037549,2744814,11/18/2022,2,OPD
11982011186125,661771,11/26/2021,2,CNV
11982920044201,3365148,3/8/2023,2,OPD
11982920013293,4240673,7/26/2023,2,OPD
11982021847336,647371,11/26/2021,2,CNV
11982920041971,4240700,7/26/2023,2,OPD
11982001224670,648846,11/26/2021,2,CNV
11982920001950,4241028,7/26/2023,2,OPD
11982920001952,4241288,7/26/2023,2,OPD
11982010110662,652056,11/26/2021,2,CNV
11982920011692,6403080,7/19/2024,2,OPD
11982920002889,2746788,11/18/2022,2,OPD
11982920037114,3240738,2/16/2023,2,OPD
11982920076561,1395144,4/7/2022,2,OPD
11982920007874,4241050,7/26/2023,2,OPD
11982920010719,4240132,7/26/2023,2,OPD
11982920055236,3241275,2/16/2023,2,OPD
11982920049855,2747228,11/18/2022,2,OPD
11982021462300,656069,11/26/2021,2,CNV
11982920041680,3240816,2/16/2023,2,OPD
11982920028531,3424158,3/17/2023,2,OPD
11982020083081,666135,11/26/2021,2,CNV
11982920012858,6401393,7/19/2024,2,OPD
11982022009241,659894,11/26/2021,2,CNV
11982920055264,2746637,11/18/2022,2,OPD
11982011132756,666683,11/26/2021,2,CNV
11982010106157,652929,11/26/2021,2,CNV
11982002643290,653869,11/26/2021,2,CNV
11982920010722,4241423,7/26/2023,2,OPD
11982920078888,4736237,10/11/2023,2,OPD
11982020307639,664142,11/26/2021,2,CNV
11982920020016,3365500,3/8/2023,2,OPD
11982021611922,662167,11/26/2021,2,CNV
11982010558704,665195,11/26/2021,2,CNV
11982001554472,649685,11/26/2021,2,CNV
11982920027450,4242915,7/26/2023,2,OPD
11982920036044,2745621,11/18/2022,2,OPD
11982910038562,2746793,11/18/2022,2,OPD
11982920010218,4242317,7/26/2023,2,OPD
11982910033033,2747286,11/18/2022,2,OPD
11982920076267,3363826,3/8/2023,2,OPD
11982920077949,3363951,3/8/2023,2,OPD
11982910038681,2746578,11/18/2022,2,OPD
11982920007792,6400761,7/19/2024,2,OPD
11982920076445,1395142,4/7/2022,2,OPD
11982920080872,4243166,7/26/2023,2,OPD
11982920068714,3364108,3/8/2023,2,OPD
11982010049928,657352,11/26/2021,2,CNV
11982920036185,2747012,11/18/2022,2,OPD
11982920001377,2744524,11/18/2022,2,OPD
11982920081054,6403573,7/19/2024,2,OPD
11982021939331,659940,11/26/2021,2,CNV
11982920074425,4736728,10/11/2023,2,OPD
11982920007875,4241485,7/26/2023,2,OPD
11982920003320,2746268,11/18/2022,2,OPD
11982920053459,3365522,3/8/2023,2,OPD
11982920020254,2746899,11/18/2022,2,OPD
11982920014318,6401295,7/19/2024,2,OPD
11982020330433,667687,11/26/2021,2,CNV
11982920013351,3365999,3/8/2023,2,OPD
11982020318917,661413,11/26/2021,2,CNV
11982920008296,6402957,7/19/2024,2,OPD
11982920007291,4240251,7/26/2023,2,OPD
11982920003174,4241046,7/26/2023,2,OPD
11982920062383,4736363,10/11/2023,2,OPD
11982920069541,4736385,10/11/2023,2,OPD
11982920042073,2747229,11/18/2022,2,OPD
11982920042716,6400911,7/19/2024,2,OPD
11982021875691,666927,11/26/2021,2,CNV
11982021601824,666854,11/26/2021,2,CNV
11982920049747,4243150,7/26/2023,2,OPD
11982920004061,6400896,7/19/2024,2,OPD
11982920049045,6401608,7/19/2024,2,OPD
11982920008148,6400927,7/19/2024,2,OPD
11982010863682,657680,11/26/2021,2,CNV
11982010192603,657282,11/26/2021,2,CNV
11982999109318,2744170,11/18/2022,2,OPD
11982022436519,661521,11/26/2021,2,CNV
11982021433848,655213,11/26/2021,2,CNV
11982021566118,658716,11/26/2021,2,CNV
11982920009488,2744346,11/18/2022,2,OPD
11982920052381,675232,11/26/2021,2,CNV
11982920074547,1954800,7/15/2022,2,OPD
11982920032454,4243222,7/26/2023,2,OPD
11982920056083,2746759,11/18/2022,2,OPD
11982920075634,3647375,4/24/2023,2,OPD
11982920075245,3240823,2/16/2023,2,OPD
11982920075270,2747512,11/18/2022,2,OPD
11982920075246,2747507,11/18/2022,2,OPD
11982010565915,664487,11/26/2021,2,CNV
11982920050442,2744907,11/18/2022,2,OPD
11982920008759,4243227,7/26/2023,2,OPD
11982920007284,3798992,5/19/2023,2,OPD
11982021659103,672114,11/26/2021,2,CNV
11982920044760,6401818,7/19/2024,2,OPD
11982920044757,2747284,11/18/2022,2,OPD
11982920057538,2744000,11/18/2022,2,OPD
11982920002540,4242385,7/26/2023,2,OPD
11982920068874,6400213,7/19/2024,2,OPD
11982920056908,3364211,3/8/2023,2,OPD
11982010562193,653102,11/26/2021,2,CNV
11982920010274,6403151,7/19/2024,2,OPD
11982920009420,6402616,7/19/2024,2,OPD
11982920012032,6403434,7/19/2024,2,OPD
11982920066858,3364714,3/8/2023,2,OPD
11982920079658,4736590,10/11/2023,2,OPD
11982920001805,2744459,11/18/2022,2,OPD
11982920072652,3364684,3/8/2023,2,OPD
11982920047981,6401659,7/19/2024,2,OPD
11982920079547,4736810,10/11/2023,2,OPD
11982021888330,665087,11/26/2021,2,CNV
11982920066996,4736067,10/11/2023,2,OPD
11982920079496,4735568,10/11/2023,2,OPD
11982920024541,2747135,11/18/2022,2,OPD
11982920033974,3365015,3/8/2023,2,OPD
11982920036905,3240726,2/16/2023,2,OPD
11982920054070,4242233,7/26/2023,2,OPD
11982920064893,3364017,3/8/2023,2,OPD
11982920002154,6403515,7/19/2024,2,OPD
11982920032587,6400901,7/19/2024,2,OPD
11982920074944,3424188,3/17/2023,2,OPD
11982920007747,6400772,7/19/2024,2,OPD
11982910032608,2746909,11/18/2022,2,OPD
11982920047817,2745081,11/18/2022,2,OPD
11982920073693,4736371,10/11/2023,2,OPD
11982910038845,2745305,11/18/2022,2,OPD
11982000455135,647763,11/26/2021,2,CNV
11982920050410,6403219,7/19/2024,2,OPD
11982920008760,4240530,7/26/2023,2,OPD
11982920030467,4242109,7/26/2023,2,OPD
11982022250118,662392,11/26/2021,2,CNV
11982020042889,650243,11/26/2021,2,CNV
11982002343610,655155,11/26/2021,2,CNV
11982920080946,4735705,10/11/2023,2,OPD
11982021846882,676882,11/26/2021,2,CNV
11982920062809,4735566,10/11/2023,2,OPD
11982920074418,2747598,11/18/2022,2,OPD
11982920015924,6401652,7/19/2024,2,OPD
11982920036871,6403305,7/19/2024,2,OPD
11982021836339,666934,11/26/2021,2,CNV
11982021471038,666936,11/26/2021,2,CNV
11982920012774,6402477,7/19/2024,2,OPD
11982003842933,656787,11/26/2021,2,CNV
11982010025076,658092,11/26/2021,2,CNV
11982920054765,6403211,7/19/2024,2,OPD
11982920001017,4241853,7/26/2023,2,OPD
11982920012839,6403013,7/19/2024,2,OPD
11982920001842,2744837,11/18/2022,2,OPD
11982021584434,664417,11/26/2021,2,CNV
11982920074638,4736589,10/11/2023,2,OPD
11982920027573,4242972,7/26/2023,2,OPD
11982920071477,3364762,3/8/2023,2,OPD
11982920071476,3364761,3/8/2023,2,OPD
11982920010815,4241939,7/26/2023,2,OPD
11982011076680,666916,11/26/2021,2,CNV
11982920048941,3964756,6/15/2023,2,OPD
11982920057933,3364631,3/8/2023,2,OPD
11982920066154,3364626,3/8/2023,2,OPD
11982920056188,4241704,7/26/2023,2,OPD
11982920066853,4736867,10/11/2023,2,OPD
11982920080084,4736894,10/11/2023,2,OPD
11982920067801,3364508,3/8/2023,2,OPD
11982920046363,3364516,3/8/2023,2,OPD
11982920078340,3364513,3/8/2023,2,OPD
11982920001970,4242377,7/26/2023,2,OPD
11982920009201,6403155,7/19/2024,2,OPD
11982022116871,672736,11/26/2021,2,CNV
11982920066825,4240965,7/26/2023,2,OPD
11982011278112,654171,11/26/2021,2,CNV
11982021388562,664746,11/26/2021,2,CNV
11982999109344,2744869,11/18/2022,2,OPD
11982022404467,653061,11/26/2021,2,CNV
11982920060423,2896104,12/16/2022,2,OPD
11982910034314,2747076,11/18/2022,2,OPD
11982920041178,3365817,3/8/2023,2,OPD
11982920012098,6402206,7/19/2024,2,OPD
11982920007533,4240333,7/26/2023,2,OPD
11982920078264,6401886,7/19/2024,2,OPD
11982920082797,6400474,7/19/2024,2,OPD
11982920022791,3365862,3/8/2023,2,OPD
11982920009149,6403423,7/19/2024,2,OPD
11982010530539,665023,11/26/2021,2,CNV
11982920078740,2743989,11/18/2022,2,OPD
11982920080720,2743984,11/18/2022,2,OPD
11982920012727,6403043,7/19/2024,2,OPD
11982920080484,2895812,12/16/2022,2,OPD
11982010129761,654522,11/26/2021,2,CNV
11982920047735,3363759,3/8/2023,2,OPD
11982920085610,4735784,10/11/2023,2,OPD
11982920085612,4735883,10/11/2023,2,OPD
11982020004434,666066,11/26/2021,2,CNV
11982020757999,656555,11/26/2021,2,CNV
11982021377003,673660,11/26/2021,2,CNV
11982920001850,2744202,11/18/2022,2,OPD
11982920056173,3364352,3/8/2023,2,OPD
11982920076134,4241668,7/26/2023,2,OPD
11982920008170,4241489,7/26/2023,2,OPD
11982920008160,4241999,7/26/2023,2,OPD
11982920079731,4736877,10/11/2023,2,OPD
11982920002847,2744768,11/18/2022,2,OPD
11982920057819,2747568,11/18/2022,2,OPD
11982920013213,6401664,7/19/2024,2,OPD
11982920038793,2747241,11/18/2022,2,OPD
11982021654070,648276,11/26/2021,2,CNV
11982021834912,659418,11/26/2021,2,CNV
11982920076375,6402130,7/19/2024,2,OPD
11982920013481,2745379,11/18/2022,2,OPD
11982920013475,6400306,7/19/2024,2,OPD
11982020499378,660407,11/26/2021,2,CNV
11982910038843,2747198,11/18/2022,2,OPD
11982920042390,2746845,11/18/2022,2,OPD
11982920029565,4736766,10/11/2023,2,OPD
11982920053104,4242144,7/26/2023,2,OPD
11982001289863,649008,11/26/2021,2,CNV
11982010092621,661046,11/26/2021,2,CNV
11982920067858,1952882,7/15/2022,2,OPD
11982920029734,3364934,3/8/2023,2,OPD
11982920020908,2745084,11/18/2022,2,OPD
11982920081727,4735636,10/11/2023,2,OPD
11982920002132,2744967,11/18/2022,2,OPD
11982920013940,6403373,7/19/2024,2,OPD
11982920037927,6403499,7/19/2024,2,OPD
11982920044351,6401150,7/19/2024,2,OPD
11982920040714,2744383,11/18/2022,2,OPD
